Character,CharID,Name,ID,awakening,Cost,Max Lvl,Description,HP,MP,TP,ATK,DEF,MAG,MND,SPD,EVA,ACC,AFF,RES
Reimu Hakurei,1,HP Boost,0,False,2,5,Increase base HP.,0,0,0,0,0,0,0,0,0,0,0,0
Reimu Hakurei,1,MP Boost,1,False,2,5,Increase maximum MP.,0,0,0,0,0,0,0,0,0,0,0,0
Reimu Hakurei,1,Magic Boost,5,False,2,5,Increase Magic.,0,0,0,0,0,0,0,0,0,0,0,0
Reimu Hakurei,1,Motivated Heart,18,False,5,2,"Skill holder receives (SLv * 6)% more experience. Only takes effect when in party (active or reserve). Does not stack with ""Hands-on Experience"", but does stack with all other modifying skills.",0,0,0,0,0,0,0,0,0,0,0,0
Reimu Hakurei,1,Hands-on Experience,19,False,5,2,"Skill holder receives (SLv * 12)% more experience. Only takes effect when in active party at end of battle. Does not stack with ""Motivated Heart"", but does stack with all other modifying skills.",0,0,0,0,0,0,0,0,0,0,0,0
Reimu Hakurei,1,Main Character: Reimu,20,False,5,2,"When a party member is KO'd, buff all stats by (SLv * 6)%. Can activate even when Reimu is in reserve. (Plus Disk: No longer buffs ACC and EVA)",0,0,0,0,0,0,0,0,0,0,0,0
Reimu Hakurei,1,Grand Incantation,21,False,5,2,"After using Concentrate, the next action's damage or healing will be multiplied by (1.6 + SLv * 0.4).",0,0,0,0,0,0,0,0,0,0,0,0
Reimu Hakurei,1,Hakurei's Divine Protection,22,False,5,2,"At the end of battle, gives a (SLv * 33)% chance to restore 1 MP to all four active members. This can take effect even if Reimu is not on the front line.",0,0,0,0,0,0,0,0,0,0,0,0
Reimu Hakurei,1,Final Prayer,23,False,5,2,"When Reimu gets KO'd, she restores (SLv * 50)% HP to all other frontline members.",0,0,0,0,0,0,0,0,0,0,0,0
Reimu Hakurei,1,Armored Yin-Yang Orb,24,False,5,2,"When Reimu is on the front line, all allies on the front line take (SLv * 15)% less Spirit damage. (Plus Disk: No longer bugged to reduce Reimu's SPI healing power)",0,0,0,0,0,0,0,0,0,0,0,0
Reimu Hakurei,1,Youkai Buster,25,False,5,2,Damage against Youkai-Type enemies is increased by (SLv * 10)% if Reimu is on the front line. The bonus doesn't stack with similar effects.,0,0,0,0,0,0,0,0,0,0,0,0
Reimu Hakurei,1,Fantasy Seal -Blink-,26,True,16,10,"When the user receives a turn, increase ""Fantasy Seal -Blink-"" counter by 1. While the user is at the front, the user's all stats are increased by (counter * 5)%, and all other frontliners' SPD is increased by (counter * 3)%. The counter maxes out at (SLv).",0,0,0,0,0,0,0,0,0,0,0,0
Reimu Hakurei,1,Barrier Expert,27,True,50,1,"Add medium chance and power PAR to all attacks (~30% infliction chance, 3000 strength). This effect stacks with spell or equipment effects.",0,0,0,0,0,0,0,0,0,0,0,0
Reimu Hakurei,1,Super Youkai Buster,28,True,40,2,Youkai Buster's damage bonus against Youkai enemies increases by a further (SLv * 8)% (stacks multiplicatively with Youkai Buster's bonus). This effect extends to the entire frontline.,0,0,0,0,0,0,0,0,0,0,0,0
Marisa Kirisame,2,MP Boost,1,False,2,5,Increase Maximum MP.,0,0,0,0,0,0,0,0,0,0,0,0
