ID,Name,Type,HP,HP Recovery Rate,MP,MP Recovery Rate,TP,ATK,DEF,MAG,MND,SPD,EVA,ACC,HP Base Value,ATK Base Value,DEF Base Value,MAG Base Value,MND Base Value,SPD Base Value,FIR,CLD,WND,NTR,MYS,SPI,DRK,PHY,PSN,PAR,HVY,SHK,TRR,SIL,DTH,DBF,Special,Desc1,Desc2,Desc3,Desc4
1,Miko Board,main,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"When used, it increase a character's equipment mass by 1. It takes 50",to get one character's equipment mass to max. Don't even try to imagine,the time it'll take to max it out for your entire party.,Maximum TP +3
2,Tin Watering Can,main,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Given to a collapsed traveller who requested water, in that rather famous",prologue scene. Today's farmer life consists of methodically growing,turnips over and over again with this as well.,Maximum TP +5
3,Grand Dragon Medal,main,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,The mark of a hardcore gamer who collected all bronze and silver monster,"medals. With all those battles, the party would surely be really strong,",but it's still disappointing that he wasn't much harder than divine dragon.,Maximum TP +7
4,Tokyo Metronome,main,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A valuable unique equip that halves environmental damage per turn.,"After mid-game, the aim is to kill all enemies each turn, so the majority","of damage received will come from the wind, making this item invaluable.",Maximum TP +9
5,Cypress Stick,main,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A cypress rod that isn't very thick. It's not very reliable as a blunt,"weapon, but having a weapon at all gives people courage and a way to",fight back against those trying to intimidate them. Probably.,Maximum MP +3
6,Source of Magic,main,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,An offering from humans that increases the master's MaxMP by 1. Magic,"that expends MP are strong, but for a mage his MaxMP is limitingly small.",People who are familiar with the game do just fine without magic anyway.,Maximum MP +4
7,Purple Orb,main,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"It might be the item you get from doing this or that in Zipangu,",or it might be the item that increases Max D.T. gauge for halflings.,It's an ambiguous item like that.,Maximum MP +6
8,Master's Emblem,main,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Collect 8 of these to obtain the ""Magic Bell"" that gives unlimited MP. In","the previous work, differently translated, it only increased MP by 1.","Thus, a true god like the predecessor is in a different class... maybe.",Maximum MP +8
9,Eyetrack Orbitars,main,0,0,0,0,0,0,0,0,0,0,0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Slightly slow, but it has good homing and can charge up for a double shot.","The bullets stay upon hit, hitting multiple times. Annoying when used with",the power of Slip Shot. Lack of power and evasion skills are its weakness.,ACC +25
10,Frozen Eyes,main,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Human technology designed to counteract JAM's EM and Optical techniques.,"An ""eye"" that determines position by observing air flow caused by moving",objects. It completely nullifies any optical camouflages.,ACC +50
11,Long Fall Boots,main,0,0,0,0,0,0,0,0,0,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Boots that prevent Portal Devices from breaking during long falls. With,"this and the Portal Device, anyone could clear the test, one might think.",But seeing 2's Boots PV still reaffirms the protag's athletic ability.,EVA +20
